date,symbol,period,forecast_vol,regime
2025-07-20 01:30:22,MGC=F,6mo,0.010900,LOW
2025-07-20 01:30:29,SPY,1y,0.007070,LOW
2025-07-20 01:34:53,MGC=F,6mo,0.010900,LOW
2024-01-15 09:30:00,SPY,1y,0.018500,NORMAL
2024-01-16 09:30:00,SPY,1y,0.022000,NORMAL
2024-01-18 09:30:00,GLD,1y,0.011200,LOW
2024-01-22 09:30:00,SPY,1y,0.027500,HIGH
2024-01-25 09:30:00,GLD,1y,0.009800,LOW
2024-01-30 09:30:00,SPY,1y,0.019200,NORMAL
2024-01-18 00:00:00,GLD,historical,0.008216,LOW
2024-01-25 00:00:00,GLD,historical,0.007247,LOW
2024-01-15 00:00:00,SPY,historical,0.005547,LOW
2024-01-16 00:00:00,SPY,historical,0.005530,LOW
2024-01-22 00:00:00,SPY,historical,0.005930,LOW
2024-01-30 00:00:00,SPY,historical,0.005639,LOW
2024-01-18 00:00:00,GLD,historical,0.008216,LOW
2024-01-25 00:00:00,GLD,historical,0.007247,LOW
2024-01-15 00:00:00,SPY,historical,0.005547,LOW
2024-01-16 00:00:00,SPY,historical,0.005530,LOW
2024-01-22 00:00:00,SPY,historical,0.005930,LOW
2024-01-30 00:00:00,SPY,historical,0.005639,LOW
2024-01-18 00:00:00,GLD,historical,0.008216,LOW
2024-01-25 00:00:00,GLD,historical,0.007247,LOW
2024-01-15 00:00:00,SPY,historical,0.005547,LOW
2024-01-16 00:00:00,SPY,historical,0.005530,LOW
2024-01-22 00:00:00,SPY,historical,0.005930,LOW
2024-01-30 00:00:00,SPY,historical,0.005639,LOW
2024-01-18 00:00:00,GLD,historical,0.008216,LOW
2024-01-25 00:00:00,GLD,historical,0.007247,LOW
2024-01-15 00:00:00,SPY,historical,0.005547,LOW
2024-01-16 00:00:00,SPY,historical,0.005530,LOW
2024-01-22 00:00:00,SPY,historical,0.005930,LOW
2024-01-30 00:00:00,SPY,historical,0.005639,LOW
2024-01-18 00:00:00,GLD,historical,0.008216,LOW
2024-01-25 00:00:00,GLD,historical,0.007247,LOW
2024-01-15 00:00:00,SPY,historical,0.005547,LOW
2024-01-16 00:00:00,SPY,historical,0.005530,LOW
2024-01-22 00:00:00,SPY,historical,0.005930,LOW
2024-01-30 00:00:00,SPY,historical,0.005639,LOW
2024-01-16 00:00:00,MES,historical,0.005530,LOW
2024-01-18 00:00:00,MGC1,historical,0.008216,LOW
2024-01-22 00:00:00,MYM,historical,0.005100,LOW
2024-01-15 00:00:00,SPY,historical,0.005547,LOW
2025-07-14 00:00:00,MES,historical,0.004596,LOW
2025-07-15 00:00:00,MES,historical,0.004861,LOW
2025-07-17 00:00:00,MES,historical,0.004899,LOW
2025-07-10 00:00:00,MGC1,historical,0.008809,LOW
2025-07-11 00:00:00,MGC1,historical,0.008493,LOW
2025-07-13 00:00:00,MGC1,historical,0.008493,LOW
2025-07-14 00:00:00,MGC1,historical,0.007959,LOW
2025-07-15 00:00:00,MGC1,historical,0.007977,LOW
2025-07-16 00:00:00,MGC1,historical,0.007494,LOW
2025-07-18 00:00:00,MGC1,historical,0.006414,LOW
2025-07-18 00:00:00,MYM,historical,0.006369,LOW
2025-07-14 00:00:00,MES,historical,0.004596,LOW
2025-07-15 00:00:00,MES,historical,0.004861,LOW
2025-07-17 00:00:00,MES,historical,0.004899,LOW
2025-07-10 00:00:00,MGC1,historical,0.008809,LOW
2025-07-11 00:00:00,MGC1,historical,0.008493,LOW
2025-07-13 00:00:00,MGC1,historical,0.008493,LOW
2025-07-14 00:00:00,MGC1,historical,0.007959,LOW
2025-07-15 00:00:00,MGC1,historical,0.007977,LOW
2025-07-16 00:00:00,MGC1,historical,0.007494,LOW
2025-07-18 00:00:00,MGC1,historical,0.006414,LOW
2025-07-18 00:00:00,MYM,historical,0.006369,LOW
